seqnames	start	end	width	strand	name	score	signalValue	pValue	qValue	peak	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	29470	29755	286	*	SRR1642051_peak_1	97	5.62357	9.79367	7.07934	63	Promoter (<=1kb)	1	29554	31109	1556	1	107985730	0	NA	MIR1302-2HG	MIR1302-2 host gene
chr1	199968	200282	315	*	SRR1642051_peak_3	211	8.96414	21.1025	17.1751	84	Distal Intergenic	1	185217	195411	10195	2	100996442	-4557	NA	WASH9P	WAS protein family homolog 9, pseudogene
chr1	1282027	1282689	663	*	SRR1642051_peak_30	158	7.69926	15.8975	12.5258	84	Promoter (1-2kb)	1	1280436	1292029	11594	1	6339	1591	ENSG00000162572	SCNN1D	sodium channel epithelial 1 subunit delta
chr1	1679189	1679332	144	*	SRR1642051_peak_76	97	5.75381	9.76956	7.06208	30	Intron (ENST00000614300.4/728661, intron 2 of 6)	1	1659529	1692795	33267	2	728661	13463	ENSG00000189339	SLC35E2B	solute carrier family 35 member E2B
chr1	1759925	1760116	192	*	SRR1642051_peak_94	68	4.63477	6.8241	4.42746	111	Intron (ENST00000341426.9/65220, intron 3 of 11)	1	1724838	1745992	21155	2	9906	-13933	NA	SLC35E2A	solute carrier family 35 member E2A (pseudogene)
chr1	2302547	2302914	368	*	SRR1642051_peak_139	74	5.81535	7.49632	5.03431	59	Intron (ENST00000704337.1/6497, intron 1 of 3)	1	2315040	2323085	8046	1	124903824	-12126	NA	LOC124903824	uncharacterized LOC124903824
chr1	2408694	2409034	341	*	SRR1642051_peak_143	95	6.01936	9.59452	6.89546	261	5' UTR	1	2403964	2413797	9834	2	5192	4763	ENSG00000157911	PEX10	peroxisomal biogenesis factor 10
chr1	6360209	6360649	441	*	SRR1642051_peak_189	86	4.94856	8.62219	6.01609	99	Exon (ENST00000377845.7/11332, exon 1 of 9)	1	6264269	6393767	129499	2	11332	33118	ENSG00000097021	ACOT7	acyl-CoA thioesterase 7
chr1	6449920	6450296	377	*	SRR1642051_peak_198	137	7.01568	13.7072	10.561	278	Intron (ENST00000645284.1/83715, intron 8 of 12)	1	6460786	6466175	5390	2	8718	15879	ENSG00000215788	TNFRSF25	TNF receptor superfamily member 25
chr1	7982574	7982745	172	*	SRR1642051_peak_243	66	4.65937	6.6833	4.29256	30	Intron (ENST00000493373.5/11315, intron 6 of 6)	1	7991134	8005312	14179	1	124903834	-8389	NA	LOC124903834	uncharacterized LOC124903834
chr1	8084222	8084393	172	*	SRR1642051_peak_257	102	5.89145	10.2448	7.46931	54	Intron (ENST00000445300.1/121832806, intron 2 of 2)	1	8026738	8122702	95965	1	121832806	57484	NA	ERRFI1-DT	ERRFI1 divergent transcript
chr1	8116381	8116972	592	*	SRR1642051_peak_267	163	7.9554	16.3197	12.8922	58	Intron (ENST00000445300.1/121832806, intron 2 of 2)	1	8201518	8215210	13693	1	102724539	-84546	ENSG00000227634	LINC01714	long intergenic non-protein coding RNA 1714
chr1	8239114	8239774	661	*	SRR1642051_peak_291	112	6.30738	11.2084	8.32872	398	Distal Intergenic	1	8201518	8215210	13693	1	102724539	37596	ENSG00000227634	LINC01714	long intergenic non-protein coding RNA 1714
chr1	8241588	8241998	411	*	SRR1642051_peak_292	152	7.33739	15.2573	11.9432	131	Distal Intergenic	1	8201518	8215210	13693	1	102724539	40070	ENSG00000227634	LINC01714	long intergenic non-protein coding RNA 1714
chr1	8312577	8313222	646	*	SRR1642051_peak_298	79	4.15523	7.99138	5.46481	385	Distal Intergenic	1	8318114	8344167	26054	1	50651	-4892	ENSG00000162426	SLC45A1	solute carrier family 45 member 1
chr1	8313275	8313427	153	*	SRR1642051_peak_299	154	6.734	15.4424	12.1164	89	Distal Intergenic	1	8318114	8344167	26054	1	50651	-4687	ENSG00000162426	SLC45A1	solute carrier family 45 member 1
chr1	8497377	8497585	209	*	SRR1642051_peak_309	84	5.65489	8.43633	5.85294	95	5' UTR	1	8511795	8511919	125	2	124900452	14334	ENSG00000221083	LOC124900452	small nucleolar RNA SNORA77
chr1	8712317	8712641	325	*	SRR1642051_peak_324	76	4.26703	7.66459	5.1668	131	Intron (ENST00000337907.7/473, intron 2 of 23)	1	8352397	8848921	496525	2	473	136280	ENSG00000142599	RERE	arginine-glutamic acid dipeptide repeats
chr1	8870796	8871176	381	*	SRR1642051_peak_331	169	8.34774	16.9915	13.4984	305	Exon (ENST00000464920.2/2023, exon 1 of 9)	1	8866502	8866590	89	2	102465436	-4206	ENSG00000274258	MIR6728	microRNA 6728
